player_id,team_id,fumbles_lost,receiving_rec,receiving_yds,receiving_tds,rushing_att,rushing_yds,rushing_tds,start_time,day_of_week,week,season_year,home_team,away_team,home_score,away_score
738,CIN,0,0,0,0,29,141,0,01:00:00,sunday,2,2009,GB,CIN,24,31
4966,CIN,0,0,0,0,2,7,0,01:00:00,sunday,2,2009,GB,CIN,24,31
2785,CIN,0,2,17,0,0,0,0,01:00:00,sunday,2,2009,GB,CIN,24,31
879,JAC,0,4,17,0,13,66,0,01:00:00,sunday,2,2009,JAC,ARI,17,31
2939,JAC,0,0,0,0,2,1,0,01:00:00,sunday,2,2009,JAC,ARI,17,31
2897,ARI,0,3,12,0,15,72,1,01:00:00,sunday,2,2009,JAC,ARI,17,31
4386,ARI,1,0,0,0,7,44,0,01:00:00,sunday,2,2009,JAC,ARI,17,31
1663,ARI,0,2,14,0,1,2,0,01:00:00,sunday,2,2009,JAC,ARI,17,31
4746,KC,0,1,-6,0,5,19,0,01:00:00,sunday,2,2009,KC,OAK,10,13
662,KC,0,3,41,0,24,78,0,01:00:00,sunday,2,2009,KC,OAK,10,13
3041,OAK,0,2,20,0,12,35,1,01:00:00,sunday,2,2009,KC,OAK,10,13
467,OAK,0,1,17,0,9,35,0,01:00:00,sunday,2,2009,KC,OAK,10,13
5066,NYJ,0,1,-1,0,14,54,0,01:00:00,sunday,2,2009,NYJ,NE,16,9
671,NYJ,1,2,18,0,14,58,0,01:00:00,sunday,2,2009,NYJ,NE,16,9
405,NE,0,0,0,0,6,23,0,01:00:00,sunday,2,2009,NYJ,NE,16,9
2461,PHI,0,3,14,0,13,52,0,01:00:00,sunday,2,2009,PHI,NO,22,48
4664,PHI,0,4,37,0,5,18,0,01:00:00,sunday,2,2009,PHI,NO,22,48
5908,NO,0,1,9,0,17,86,1,01:00:00,sunday,2,2009,PHI,NO,22,48
201,NO,0,3,42,0,10,33,1,01:00:00,sunday,2,2009,PHI,NO,22,48
3982,NO,0,1,-4,0,0,0,0,01:00:00,sunday,2,2009,PHI,NO,22,48
2813,TEN,0,9,87,1,16,197,2,01:00:00,sunday,2,2009,TEN,HOU,31,34
1715,HOU,0,3,25,0,17,34,0,01:00:00,sunday,2,2009,TEN,HOU,31,34
802,WAS,0,2,9,0,19,79,0,01:00:00,sunday,2,2009,WAS,STL,9,7
3550,STL,0,4,15,0,17,104,0,01:00:00,sunday,2,2009,WAS,STL,9,7
3694,BUF,1,6,25,0,28,163,0,04:05:00,sunday,2,2009,BUF,TB,33,20
4278,TB,0,7,56,1,7,9,0,04:05:00,sunday,2,2009,BUF,TB,33,20
4033,TB,0,1,5,0,9,32,0,04:05:00,sunday,2,2009,BUF,TB,33,20
5415,SF,0,5,39,0,16,207,2,04:05:00,sunday,2,2009,SF,SEA,23,10
4547,SEA,0,3,-2,1,8,11,0,04:05:00,sunday,2,2009,SF,SEA,23,10
4659,SEA,0,6,57,0,5,35,0,04:05:00,sunday,2,2009,SF,SEA,23,10
4460,CHI,0,5,33,0,13,29,0,04:15:00,sunday,2,2009,CHI,PIT,17,14
2808,PIT,0,1,13,0,3,39,0,04:15:00,sunday,2,2009,CHI,PIT,17,14
4431,DEN,0,2,22,0,17,75,0,04:15:00,sunday,2,2009,DEN,CLE,27,6
37,DEN,0,1,30,0,9,76,1,04:15:00,sunday,2,2009,DEN,CLE,27,6
1108,DEN,1,0,0,0,1,2,1,04:15:00,sunday,2,2009,DEN,CLE,27,6
416,CLE,0,4,24,0,3,8,0,04:15:00,sunday,2,2009,DEN,CLE,27,6
5366,CLE,1,5,22,0,1,4,0,04:15:00,sunday,2,2009,DEN,CLE,27,6
